job_title,category,inferred_state,post_date,job_description
community education manager,Education,Queensland,2020-03-09,lifeline northern beaches have been serving their community for years and are an organisation run by a small number of employees but largely powered by over volunteers our mission is to continue to deliver the best possible level of support services for australians in times of crisis and equip individuals and communities to be resilient and suicide safe we are currently seeking to hire a charismatic individual with commercial acumen to lead an exceptional team of trainers to manage a corporate and community based training offering this is a key role and presents an opportunity to create networks in the local community and make a difference by delivering crisis support training to equip people with tools and skills to start conversations around mental health the role will develop promote and manage external training opportunities for local community groups and corporate organisations recruit retain manage and develop a qualified training team to deliver mental health training for the community corporate markets develop training workshops to fulfil staff training needs selection criteria certificate iv in assessment and workplace training or training and assessing is desirable tertiary qualifications or extensive experience in psychology social work or counselling previous experience as a training facilitator within a corporate environment a passion for networking and promoting what llnb can offer in the training environment if you are interested in this opportunity please email your cv and a cover letter outlining how you meet the selection criteria to careers lifelinenb org authe application form will include these questions which of the following statements best describes your right to work in australia what s your expected annual base salary do you have experience working towards targets and kpis how much notice are you required to give your current employer 
education program manager,Education,New south wales,2020-02-10,about the role this exciting role will shape the future of makerspace co s much loved multi disciplinary short courses business working independently and alongside our team of technicians and teachers you will create and organise a range of creative classes that are informed by our years of previous experience whilst grasping fresh ideas new markets and opportunities you will provide quality customer support and handle administrative duties like a boss whilst embracing the supportive culture of our creative community you will be a natural promoter who loves the satisfaction of selling out your creations and can enact strategies to reach new and varied audiences your hosting prowess will be on show when welcoming students to the space and coordinating special events for clients this is more than a job for the right person this is a central role in the inner west creative community and a chance to make a difference through enabling skills sharing supporting creative professional development pushing social boundaries and promoting the talents of a really unique community core responsibilities updating and maintaining class listings on website and booking platform assisting with pre class arrangements of spaces facilities and printed resources liaising with teachers on all class preparations managing students and student enquiries meet and greet any interested passers by give everyone a wonderful first impression organise corporate classes and off site days manage enquiries pertaining to classes and events actively seek out new students teachers and members and contribute to marketing efforts with the whole team provide support in the planning and implementation of marketing activities digital events etc liaise with staff and contracted teachers for smooth running of classes and student communications maintain clear and consistent communication with other staff through hand over notes at the end of each shifts as necessary including any information pertaining to students members workflow repairs or other issues that have any likely impact on the space maintain databases of key stakeholders students and members desirable previous experience with booking platform software marketing experience comfortable using social media you will be working amongst an amazing community of creatives who are designing their own products running their own businesses enjoying their hobbies and generally just happy to be part of the space applications close february at pm please attach a short cover letter addressing the core responsibilities and letting us know more about your experience and intentions perks of workshop access studio space quarterly bonuses based on class sales and autonomy should excite the right person 
senior school officer clerical,Education,Victoria,2020-03-16,st james primary school in muswellbrook is seeking a senior school officer to join the team the role senior school officer hours per week exists to provide a reception service for phone and direct contact externally to and within the school general office administration including maintaining student records typing and preparation of documents ordering of school requisites and administrative support for staff administration of school financial accounts including student debtors accounts receivable reconciling accounts bas supplier payments maintaining budgets and preparation of reports and support to the school principal essential criteria support the ethos of catholic education be able to fulfil the requirements of the diocesan faith education accreditation policy minimum of certificate iii in accounting business or equivalent evidence of strong performance and quality of work with previous employer s a clear understanding of microsoft office suite proven knowledge and skills with ms excel and accounting information systems strong interpersonal written and verbal communication skills enthusiasm proactivity and capacity to adapt ability to work in an environment with competing demands where tasks need to be prioritised ability to work effectively as part of a team working with children check and applicants will need to comply with the accreditation to work teach and lead formerly fea and will need to work towards accreditation at category a accreditation to work desirable minimum of two years relevant experience in finance accounting and practising catholic benefits including a corporate fitness program employee assistance program eap paid parental leave training and staff development programs access to long service leave after just five years and opportunity for leasing motor vehicles to apply please provide your resume and a cover letter addressing the selection criteria directly to aaron moon aaron moon mn catholic edu au applications close th march at pm please note not adequately addressing the selection criteria may result in your application not being shortlisted for more information regarding the position and the catholic schools office please visit https www mn catholic edu au employment working with us 
learning assistant support education,Education,Queensland,2020-02-28, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper tempborder max width px border px solid background url https seekcdn com templates _ _wm gif no repeat left bottom font family arial helvetica sans serif job template__wrapper tempborder templogo text align center job template__wrapper tempborder tempmargin margin px padding px px job template__wrapper tempborder jobtitle color margin padding px display block font size px job template__wrapper tempborder subheading color margin padding display block font size px job template__wrapper tempborder templatetext color text align left font size px job template__wrapper tempborder details color padding px font size px job template__wrapper tempborder style text align left font size px learning assistant support education applications are invited from suitably qualified and experienced learning assistants for a part time fte ongoing position commencing term recent experience working as a learning assistant in a secondary school setting years is essential hours of work am to pm days per week during term time only commencement date tuesday april for further information including position description and key selection criteria please visit the college website applications should be forwarded to mr roger oatesprincipal billanook college cardigan road mooroolbark email karin thompson billanook vic edu au closing date for applications pm on tuesday march billanook college is committed to the safety wellbeing and inclusion of our students www billanook vic edu au applications are invited from suitably qualified and experienced learning assistants for a part time fte ongoing position commencing term recent experience working as a learning assistant in a secondary school setting years is essential hours of work am to pm days per week during term time only commencement date tuesday april for further information including position description and key selection criteria please visit the college website applications should be forwarded to mr roger oatesprincipal billanook college cardigan road mooroolbark email karin thompson billanook vic edu au closing date for applications pm on tuesday march billanook college is committed to the safety wellbeing and inclusion of our students 
admin support for speech therapy practice part time school hours flexible,Education,Victoria,1 Jan 2020,do you like to do the same thing day in day out do you take life incredibly seriously then this is not the job for you we are seeking someone with tonnes of organisation skills warmth and professionalism someone who loves diversity in work life keeping systems organised and being a friendly and helpful support we believe that play and work are both essential this applies to the children and families we support and equally to our team we value relationships continued learning development and sharing knowledge and ideas we can never know enough about the role permanent part time employment with flexible hours across mon fri this role can fit within school hours hours per week flexible location working from our bondi junction office and sometimes from home pay above award rates paid annual leave personal leave and superannuation start date as soon as we meet the right applicant early march at the latest main responsibilities include supporting our practice manager and team in maintaining efficient accurate systems data and communications so that they can more effectively support our clients and staff office and team support communicating with and supporting speech therapists in our team and our ot partners to ensure comprehensive client support office upkeep bondi junction including maintaining stocks of resources stationary and snacks very important troubleshooting issues with office technology and the team if needed financials billing and invoices sending invoices monitoring paid invoices processing payroll supporting marketing activities instagram facebook mailchimp there is scope to increase responsibilities of the role over time including client support such as phone calls e g intake calls support calls and emails about you skills and experience essential criteria administration experience in any field strong tech computer literacy skills high attention to detail demonstrated skills in effective and efficient management of workload working with children check wwcc for more information and how to apply www kidsguardian nsw gov au working with children working with children check willing to complete and pass national police check own laptop preferred candidates will have the following skills unique skills and experience to bring a special extra dimension to our team personality communication skills friendly warm and positive attitude flexible to cope with dynamic role change growth and development with a problem solving attitude excellent skills for communicating with team and clients on phone email and in other correspondence empathic and caring clear and effective communicator ethics values strong commitment to client and family confidentiality understanding of ethical requirements in working within an allied health practice shared values with our practice of being an inclusive service and workplace we welcome clients families and staff from all cultural linguistic gender orientation age socioeconomic status religious backgrounds and people of all abilities effective efficient highly organised efficient effective and reliable excellent at prioritising tasks and actions excellent attention to detail good problem solver can work well independently to manage own workload continuously looking to improve quality and procedures ability to analyse processes and develop more effective ways of doing things tech skills advanced skills for using and learning a range of technology tech tools and devices some skills for troubleshooting software and hardware issues able to develop and maintaining information systems financial records and databases able to use or quickly learn supported with training the following platforms google drive gmail xero accounting acuity scheduling capsule crm mailchimp facebook pages instagram about us we provide personalised supportive and collaborative speech therapy for children based in our bondi junction clinic that we share with wonderful occupational therapists from kids first ot we offer clinic based and mobile visits to homes schools and preschools in the east and inner west we work with children with a wide range of communication difficulties and disabilities we believe that children and their families are at the centre of all that we do and we take a caring wholistic approach to speech therapy support we value effective and efficient processes so that all of the team can spend time focusing on the work that matters we are growing and need great people to grow with us get in contact apply if this role sounds like your cup of tea or coffee equally important we d love to hear from you please ensure to do all of the following steps for your application to be accepted email your cover letter in the body of your email addressing the essential criteria and elements of the send to hello clearcommunicators com au attach to the email your cv in pdf format maximum pages attach or share a link to a minute introduction video of yourself in the video please cover why this role is perfect for you why you re perfect for the role your favourite biscuit and why it s the best biccie for more information email irene practice manager at hello clearcommunicators com au for any questions no phone calls please applications close friday st jan but please get in touch and submit your application asap as interviews will start earlier the application form will include these questions which of the following statements best describes your right to work in australia do you have experience in an administration role 
high school tutor work from home ,Education,New south wales,2020-02-09,about meridian one offers an innovative educational program with a year track record that shows students an easier way to study sixty three per cent of our students have achieved an atar over see independent reviews here https goo gl nxruuv the role coaches provide their students with a wide range of study skills and techniques and provide subject specific help in their respective fields meridian one coaches operate from pm to pm from monday to thursday and am to pm on sundays you need to be available some of these hours but not all of them meridian one is better than private tutoring because coaches will receive a highly competitive hourly rate of on a casual basis and are guaranteed at least fifteen hours per week coaching is conducted from your home via video conference technology criteria at least one full year s previous experience in either coaching or tutoring excellent communication skills high academic grades or a proven track record with students mentored or tutored commitment to their students and work through the full academic year a strong background with computers to apply please press apply now 
educator,Education,New south wales,2020-03-30,educator aged care south west sydney the organisation this not for profit organisation is highly regarded throughout sydney for culture specific services with an excellent workplace culture that encourages initiative and excellent customer service nsw south west sydney bossley park strong clinical governance and leadership role salary package the facility the organisation this not for profit organisation is highly regarded throughout sydney for culture specific services with an excellent workplace culture that encourages initiative and excellent customer service nsw south west sydney bossley park strong clinical governance and leadership role the facility this new bed ageing in place facility is one of the industry leaders and renowned for providing superior quality care to their residents we are currently seeking to appoint a dynamic clinical educator to be part of the clinical team reporting to the director of nursing you will deliver quality clinical education in accordance with staff needs and legislative requirements lead nursing staff in the delivery of person centred care contribute towards continuous improvement in our care homes you will also support and develop expertise within your dedicated care team and recognise team and individual achievements the role your experience as the clinical nurse educator you will assist the director of nursing across the education of all areas of day to day management the position is a part time hrs per week role which would include an ongoing education of quality care focusing on clinical standards you will ensure that the care team have everything they need including plenty of ongoing support key responsibilities include yet are not limited to develop plan and implement an educational program mentor and guide less experience staff within the home develop open communication channels with staff and families of the home contribute to the effective operation of the workplace by supports colleagues sharing ideas and information working as a good team player comply with the homes policies and procedures along with licensing legislation regulations the successful candidate will ideally have registered nurse current ahpra registration certificate iv in training and assessment current police check valid working rights experience as a registered nurse previous experience in aged care previous experience as an educator applicants should also possess excellent written and verbal communication and interpersonal skills and be able to work effectively within a team environment a sound knowledge of computer based software applications including word excel database management systems is also required how to apply click apply to submit your application please forward your resume to directornursing swiaa org for more information please contact lisa burton director of nursing on applications close the application form will include these questions which of the following statements best describes your right to work in australia do you have a current working with children wwc check are you currently registered with the australian health practitioner regulation agency ahpra have you completed a qualification in nursing 
education content designer,Education,Queensland,16 Feb 2020, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper tempborder width px text align left background f f f box shadow px px rgba inset px job template__wrapper temptopimg height px background image url https seekcdn com templates _ a_top jpg background position center top job template__wrapper tempbottomimg height px background url https seekcdn com templates _ _top jpg background position center bottom job template__wrapper tempmargin margin px px px padding job template__wrapper jobtitle color dd text align center margin padding px px px display block font size pt font family helvetica arial sans serif font weight job template__wrapper templatetext job template__wrapper details font size pt line height font weight color text align left font family helvetica arial sans serif margin bottom px job template__wrapper templatetext a job template__wrapper details a color ff education content designer education content designer the role as an education content designer with us you will have the overall responsibility for creating impactful courses and programs that drive results and develop behavior changing and motivating learning experiences for the sales team you will have the opportunity to map out training plans and schedules design and develop training programs outsourced or in house for sales sales ops resellers and others design create and maintain engaging learning experiences and training programs for xero sellers using a variety of delivery methods digital publishing tools technologies and techniques including multimedia interactive immersive and gamified assets and elements assist with assessment of training needs of employees across the business write learning objectives and training content including knowledge checks and scripts work closely with internal and external subject matter experts to design develop and deliver courses that support overall department and business goals maintain quality and brand alignment of training content created within xero guidelines assist with change management set up and training for sales and sales ops technology in order to be successful in this role you will have proven experience in education content design and creation a high degree of computer literacy and software knowledge including lms cms experience in authoring tools such as evolve and or articulate an advantage be process driven and super organised the ability to build relationships and negotiate with various stakeholder groups an ability to cope with change in a fast paced dynamic environment experiencing growth and expansion why xero this role presents an outstanding opportunity for a education content designer to join a hyper growth asx company that is rewiring the small business economy at xero we are proud of our collaborative empowering and inclusive culture that allows creativity to thrive and innovation to flourish we re offering a competitive remuneration package and a supportive and fun work environment that encourages you to take ownership of your career and be the best you can be to peek inside xero and see what we do check out dobeautifulwork on twitter or instagram education content designer the role as an education content designer with us you will have the overall responsibility for creating impactful courses and programs that drive results and develop behavior changing and motivating learning experiences for the sales team you will have the opportunity to map out training plans and schedules design and develop training programs outsourced or in house for sales sales ops resellers and others design create and maintain engaging learning experiences and training programs for xero sellers using a variety of delivery methods digital publishing tools technologies and techniques including multimedia interactive immersive and gamified assets and elements assist with assessment of training needs of employees across the business write learning objectives and training content including knowledge checks and scripts work closely with internal and external subject matter experts to design develop and deliver courses that support overall department and business goals maintain quality and brand alignment of training content created within xero guidelines assist with change management set up and training for sales and sales ops technology in order to be successful in this role you will have proven experience in education content design and creation a high degree of computer literacy and software knowledge including lms cms experience in authoring tools such as evolve and or articulate an advantage be process driven and super organised the ability to build relationships and negotiate with various stakeholder groups an ability to cope with change in a fast paced dynamic environment experiencing growth and expansion why xero this role presents an outstanding opportunity for a education content designer to join a hyper growth asx company that is rewiring the small business economy at xero we are proud of our collaborative empowering and inclusive culture that allows creativity to thrive and innovation to flourish we re offering a competitive remuneration package and a supportive and fun work environment that encourages you to take ownership of your career and be the best you can be to peek inside xero and see what we do check out dobeautifulwork on twitter or instagram 
casual home tutors required brisbane,Education,Australian capital territory,28 Dec 2019,since lifetime learners tutoring has helped students in brisbane by matching them with high quality tutors we currently require suitably qualified registered teachers and trainee teachers to join our casual tutoring team in locations all brisbane suburbs logan redlands moreton bay region ipswich subject areas english senior secondary english primary secondary mathematics primary secondary as a team member you will use your professional skill to provide tutoring services to a diverse range of students in their homes a library or other suitable location you will work with parents other agencies and lifetime learners to schedule lessons formulate plans strategies for students based on their needs and report progress you will work mainly outside school hours including evenings weekends school holiday periods you will need to be willing and able to travel to provide tutoring sessions you should be able to commit to a minimum of hours per week if required team member benefits you will be a casual employee of the company no abn required you will receive industry leading hourly rates you will enjoy flexible working hours and conditions that fit with your current teaching study and family commitments you will have the opportunity to gain and enhance your teaching skills you will enjoy a progressive supportive work environment essential criteria you must have the right to work in australia you must hold australian recognised teaching qualifications or be currently enrolled at an australian university in a course leading to a teaching qualification you must possess either a current working with children check or current qct registration exemption card you must have a current drivers licence and a reliable vehicle you must have excellent interpersonal skills and personal presentation you must meet our english proficiency standards you must be self starting punctual reliable and able to work without supervision if you are a student you must have achieved an atar of at least and be currently achieving excellent academic results how to become a tutor start by copying the following url into your web browser www lifetimelearners com au our web site contains a great deal of information about us our requirements criteria and policies as well as an application form to be considered for a position all applications must include an application form found on our website a detailed resume outlining your qualifications and experience relevant to tutoring a cover letter that addresses your reasons for applying and the relevant personal and professional qualities that you believe would make you an excellent tutor suitable to supporting students from a diverse range of backgrounds all applications will be reviewed by our hr team and assessed against the criteria that are located on our website we do not generally accept applications from candidates relying on working holiday visas and temporary visas about our recruitment process we recruit regularly throughout the year in brisbane successful applicants will be required to attend a face to face interview during normal business hours at our offices in their home city and possibly an online or telephone interview as part of the selection process all successful applicants will be required to provide copies of their qualifications relevant to tutoring and or latest transcripts at interview and to submit to background checks including referee and professional checks and child safety screening like to know more visit www lifetimelearners com au or call us on member of the australian tutoring association the application form will include these questions which of the following statements best describes your right to work in australia how many years experience do you have as a tutor do you have a current working with children wwc check do you have current teacher s registration in australia do you own or have regular access to a car 
school sports coach hockey,Education,New south wales,2020-03-12,hockey coach casual commencing march lowther hall lowther hall is an inclusive school for girls from kindergarten to year committed to excellence for all situated in essendon it is the only anglican independent school for girls in the area the school has a maximum enrolment of a size which enables each girl to be known as an individual lowther hall is a learning community in which staff and students work together to achieve the shared goal of educating the whole girl for the whole of life position description the successful applicant will be a dedicated coach with a commitment to development of all students involved in the lowther hall sporting program they will be an outstanding leader motivator and role model committed to our school s mission of educating the whole person for the whole of life their practice will be informed by contemporary coaching research methods and personal experience in the use of relevant coaching techniques we seek coaches who are committed to their own learning and the development of others for this position we are seeking a highly skilled hockey coach who will promote our hockey program whilst ensuring high standards of professionalism and conduct this includes ensuring the safety of students and staff at all times following lowther hall policies and procedures and holding the appropriate qualifications as specified in the selection criteria below support of the school s values is essential dates required applicants must be able to commit to one of the following teams and dates intermediate hockey yr training tuesday pm march april may june matches wednesday pm april may june finals tba junior hockey yr training wednesday pm march april may june matches thursday pm april may june finals tba selection criteria applicants should provide a statement of no more than words which outlines the ways in which they fulfil the following criteria appropriate coaching experience or love for the sport experience in a similar role an advantage excellent organisational skills a proven ability to develop productive relationships with students staff and parents an understanding of the lowther hall context and requirements for ensuring child safety current wwcc registration current level first aid and cpr certificate with a commitment to on going training current national criminal history record check applications applicants for this position should include in their application the following information full name residential postal address email and phone contact details religious affiliation optional evidence of educational qualifications previous work history a statement of no more than words addressing the selection criteria a colour photocopy of wwc registration card evidence of current qualification in first aid and cpr training the names addresses and telephone numbers of three professional referees from whom confidential information may be sought applications close am friday march and should be forwarded to employment lowtherhall vic edu au 
learning support teacher s aide,Education,Queensland,2020-02-06,about the business shellharbour anglican college was established in and is one of schools currently operating under the anglican schools corporation banner shellharbour anglican college strives to provide a caring holistic education equipping individuals with personal excellence and christian integrity about the role we are seeking a passionate engaging and suitably qualified teacher s aide to support students with additional learning needs the teacher s aide should have the following training experience and skills formal training in education support or equivalent experience working with children with disabilities and or learning needshave an understanding of the wellbeing of children and adolescents closing date friday february for further information please visit our website www shellharbourac nsw edu au the application form will include these questions which of the following statements best describes your right to work in australia do you have a current working with children wwc check 
ref casual administration project officer school of law,Education,New south wales,3 Feb 2020, videojobad videoembed display block height px padding px text align center width jobadcontrol videoembed border px solid ccc job template__wrapper font size px font family helvetica arial sans serif overflow hidden background color fff color line height normal box sizing content box width px max width px job template__wrapper details job template__wrapper jobtitle job template__wrapper subheading job template__wrapper ul templatebullet job template__wrapper ul templatebulletnormal color c c c word wrap break word job template__wrapper templatetext job template__wrapper ul templatebulletnormal font size pt font weight word wrap break word job template__wrapper jobtitle font size pt font weight job template__wrapper subheading font size pt font weight job template__wrapper h font size px margin px font weight job template__wrapper h job template__wrapper h font size px margin px color d font weight job template__wrapper h margin px job template__wrapper h font size px margin px job template__wrapper b job template__wrapper strong font weight job template__wrapper em job template__wrapper i font style italic job template__wrapper blockquote margin em px job template__wrapper td vertical align middle job template__wrapper templatetext h font size px margin color c c c job template__wrapper ul templatebullet font size pt font weight job template__wrapper templatebullet li job template__wrapper templatebulletnormal li job template__wrapper templatetext li list style position outside list style disc margin left px job template__wrapper templatetext ol job template__wrapper templatetext ul margin top px job template__wrapper templatetext ol li list style position outside list style decimal margin left px job template__wrapper details font size pt font weight word wrap break word job template__wrapper tempmargin margin px padding px job template__wrapper ul templatebullet margin px padding px job template__wrapper small font size px font weight color job template__wrapper a text decoration none job template__wrapper a focus outline thin dotted job template__wrapper a active job template__wrapper a link job template__wrapper a visited color cf job template__wrapper hr border none border top px solid dadada job template__wrapper dl job template__wrapper menu job template__wrapper ol job template__wrapper p job template__wrapper ul margin px job template__wrapper menu job template__wrapper ol job template__wrapper ul job template__wrapper ul li padding job template__wrapper valign top vertical align top job template__wrapper sub job template__wrapper sup position relative vertical align baseline line height font size px job template__wrapper sup top em job template__wrapper sub bottom em job template__wrapper content margin px padding px px px background fff position relative z index top px min height px margin right job template__wrapper tempborder width px border px solid d text align left font family helvetica arial job template__wrapper tempborder templogo text align center padding px font size line height job template__wrapper tempborder tempmargin margin px padding px px job template__wrapper tempborder jobtitle color text align left margin padding px display block font size px job template__wrapper tempborder subheading job template__wrapper tempborder h color important text align left margin padding px display block font size px job template__wrapper tempborder templatebullet li color text align left margin left px important font size px font weight bold job template__wrapper tempborder templatetext li color important text align left margin left px font size px job template__wrapper tempborder templatetext color text align left font size px job template__wrapper tempborder details color text align center padding top px font size px job template__wrapper tempborder tempbase font size px color fff background d font weight bold padding px text align center ref casual administration project officer school of law casual position for months available to start immediately with possible extension parramatta south campus working at western sydney university means you ll be part of an organisation that s ranked in the top of universities worldwide and is a research leader with of the university s research being at or above world standard we understand the key to your success is unlocking your true potential just as we do with our students our staff members work together to enable a dynamic inclusive and innovative culture that is distinctly research driven and student centred the school of law is seeking an experienced project administration officer to join their team on a casual basis this position involves effectively managing and executing governance related activities including case management of misconduct process accreditation secretariat and compliance support the successful candidate will also be responsible for providing a high level of project administration support to enable the effective delivery of school based projects remuneration causal hourly rate ranging from to per hour position enquiries please contact louella almeida on or via email at louella almeida westernsydney edu au closing date pm february full details on how to apply for these positions can be found at our website western sydney university values workplace diversity westernsydney edu au vacancies casual position for months available to start immediately with possible extension parramatta south campus working at western sydney university means you ll be part of an organisation that s ranked in the top of universities worldwide and is a research leader with of the university s research being at or above world standard we understand the key to your success is unlocking your true potential just as we do with our students our staff members work together to enable a dynamic inclusive and innovative culture that is distinctly research driven and student centred the school of law is seeking an experienced project administration officer to join their team on a casual basis this position involves effectively managing and executing governance related activities including case management of misconduct process accreditation secretariat and compliance support the successful candidate will also be responsible for providing a high level of project administration support to enable the effective delivery of school based projects remuneration causal hourly rate ranging from to per hour position enquiries please contact louella almeida on or via email at louella almeida westernsydney edu au closing date pm february 
